Day,Month,Year,Date,Quarter,Sector,Female Employment,Male Employment,Total
31,March,2006,31-Mar-06,1,Transport & storage,"303,048","1,261,317","1,564,379"
31,March,2006,31-Mar-06,1,Accommod-ation & food services,"702,551","583,553","1,286,199"
31,March,2006,31-Mar-06,1,Information & communication,"291,435","722,652","1,014,123"
31,March,2006,31-Mar-06,1,Financial & insurance activities,"631,971","637,380","1,269,591"
31,March,2006,31-Mar-06,1,Real estate activities,"118,676","133,959","252,492"
31,March,2006,31-Mar-06,1,"Professional, scientific & technical activities","811,652","1,022,860","1,834,587"
31,March,2006,31-Mar-06,1,Administrative & support services,"562,497","713,616","1,276,161"
31,March,2006,31-Mar-06,1,Public admin & defence; social security,"1,005,534","1,014,892","2,020,440"
31,March,2006,31-Mar-06,1,Education,"2,026,399","809,212","2,835,614"
31,March,2006,31-Mar-06,1,Human health & social work activities,"2,822,185","753,904","3,576,130"
31,March,2006,31-Mar-06,1,Other services,"796,645","629,487","1,426,187"
30,June,2006,30-Jun-06,2,Public Sector,"4,564,733","2,531,345","7,096,078"
30,June,2006,30-Jun-06,2,Private sector,"8,816,525","13,007,485","21,824,010"
30,June,2006,30-Jun-06,2,"Agriculture, forestry & fishing","67,439","200,519","267,957"
30,June,2006,30-Jun-06,2,"Mining, energy and water supply","91,684","322,353","414,037"
30,June,2006,30-Jun-06,2,Manufacturing,"777,823","2,507,459","3,285,322"
30,June,2006,30-Jun-06,2,Construction,"333,421","2,126,739","2,460,185"
30,June,2006,30-Jun-06,2,"Wholesale, retail & repair of motor vehicles","2,034,807","2,082,080","4,117,074"
30,June,2006,30-Jun-06,2,Transport & storage,"291,593","1,263,800","1,555,410"
30,June,2006,30-Jun-06,2,Accommod-ation & food services,"736,765","603,364","1,340,233"
30,June,2006,30-Jun-06,2,Information & communication,"296,462","727,406","1,023,901"
30,June,2006,30-Jun-06,2,Financial & insurance activities,"620,032","638,745","1,259,103"
30,June,2006,30-Jun-06,2,Real estate activities,"118,696","144,190","262,659"
30,June,2006,30-Jun-06,2,"Professional, scientific & technical activities","807,758","998,127","1,805,964"
30,June,2006,30-Jun-06,2,Administrative & support services,"573,491","706,118","1,279,661"
30,June,2006,30-Jun-06,2,Public admin & defence; social security,"995,862","994,082","1,989,967"
30,June,2006,30-Jun-06,2,Education,"2,032,136","817,024","2,849,178"
30,June,2006,30-Jun-06,2,Human health & social work activities,"2,829,251","750,073","3,579,380"
30,June,2006,30-Jun-06,2,Other services,"782,671","663,145","1,445,883"
30,September,2006,30-Sep-06,3,Public Sector,"4,505,046","2,512,780","7,017,826"
30,September,2006,30-Sep-06,3,Private sector,"8,921,743","13,243,644","22,165,387"
30,September,2006,30-Sep-06,3,"Agriculture, forestry & fishing","75,166","217,777","292,941"
30,September,2006,30-Sep-06,3,"Mining, energy and water supply","96,153","328,220","424,376"
30,September,2006,30-Sep-06,3,Manufacturing,"786,901","2,492,630","3,279,568"
30,September,2006,30-Sep-06,3,Construction,"326,913","2,183,114","2,510,055"
30,September,2006,30-Sep-06,3,"Wholesale, retail & repair of motor vehicles","2,012,171","2,142,096","4,154,449"
30,September,2006,30-Sep-06,3,Transport & storage,"307,683","1,266,059","1,573,765"
30,September,2006,30-Sep-06,3,Accommod-ation & food services,"753,321","628,824","1,382,265"
30,September,2006,30-Sep-06,3,Information & communication,"302,640","742,112","1,044,787"
30,September,2006,30-Sep-06,3,Financial & insurance activities,"623,514","628,494","1,252,096"
30,September,2006,30-Sep-06,3,Real estate activities,"123,288","124,378","247,682"
30,September,2006,30-Sep-06,3,"Professional, scientific & technical activities","796,119","1,028,297","1,824,492"
30,September,2006,30-Sep-06,3,Administrative & support services,"610,528","712,282","1,322,861"
30,September,2006,30-Sep-06,3,Public admin & defence; social security,"974,696","995,637","1,970,370"
30,September,2006,30-Sep-06,3,Education,"1,973,300","785,048","2,758,379"
30,September,2006,30-Sep-06,3,Human health & social work activities,"2,852,753","777,483","3,630,283"
30,September,2006,30-Sep-06,3,Other services,"816,647","711,437","1,528,164"
31,December,2006,31-Dec-06,4,Public Sector,"4,491,244","2,449,038","6,940,282"
31,December,2006,31-Dec-06,4,Private sector,"8,939,094","13,276,462","22,215,556"
31,December,2006,31-Dec-06,4,"Agriculture, forestry & fishing","80,829","221,489","302,313"
31,December,2006,31-Dec-06,4,"Mining, energy and water supply","98,608","337,520","436,132"
31,December,2006,31-Dec-06,4,Manufacturing,"770,627","2,462,823","3,233,502"
31,December,2006,31-Dec-06,4,Construction,"330,736","2,211,553","2,542,320"
31,December,2006,31-Dec-06,4,"Wholesale, retail & repair of motor vehicles","2,040,011","2,157,322","4,197,542"
31,December,2006,31-Dec-06,4,Transport & storage,"322,436","1,262,245","1,584,710"
31,December,2006,31-Dec-06,4,Accommod-ation & food services,"748,858","579,883","1,328,855"
31,December,2006,31-Dec-06,4,Information & communication,"305,961","751,485","1,057,486"
31,December,2006,31-Dec-06,4,Financial & insurance activities,"623,919","645,520","1,269,627"
31,December,2006,31-Dec-06,4,Real estate activities,"117,398","130,755","248,066"
31,December,2006,31-Dec-06,4,"Professional, scientific & technical activities","801,218","1,024,158","1,825,456"
31,December,2006,31-Dec-06,4,Administrative & support services,"595,518","732,795","1,328,371"
31,December,2006,31-Dec-06,4,Public admin & defence; social security,"972,830","989,457","1,962,333"
31,December,2006,31-Dec-06,4,Education,"2,017,533","795,472","2,813,038"
31,December,2006,31-Dec-06,4,Human health & social work activities,"2,790,130","731,343","3,521,511"
31,December,2006,31-Dec-06,4,Other services,"820,245","688,030","1,508,336"
31,March,2007,31-Mar-07,1,Public Sector,"4,518,782","2,435,693","6,954,475"
31,March,2007,31-Mar-07,1,Private sector,"8,842,417","13,197,321","22,039,738"
31,March,2007,31-Mar-07,1,"Agriculture, forestry & fishing","84,544","203,648","288,188"
31,March,2007,31-Mar-07,1,"Mining, energy and water supply","104,072","346,278","450,358"
31,March,2007,31-Mar-07,1,Manufacturing,"764,190","2,451,608","3,215,861"
31,March,2007,31-Mar-07,1,Construction,"317,256","2,209,972","2,527,278"
31,March,2007,31-Mar-07,1,"Wholesale, retail & repair of motor vehicles","1,984,835","2,135,130","4,120,183"
31,March,2007,31-Mar-07,1,Transport & storage,"323,634","1,242,240","1,565,915"
31,March,2007,31-Mar-07,1,Accommod-ation & food services,"736,778","586,708","1,323,604"
31,March,2007,31-Mar-07,1,Information & communication,"298,337","757,924","1,056,297"
31,March,2007,31-Mar-07,1,Financial & insurance activities,"601,197","662,233","1,263,319"
31,March,2007,31-Mar-07,1,Real estate activities,"131,222","125,475","256,926"
31,March,2007,31-Mar-07,1,"Professional, scientific & technical activities","850,765","1,023,575","1,874,445"
31,March,2007,31-Mar-07,1,Administrative & support services,"569,208","734,996","1,304,264"
31,March,2007,31-Mar-07,1,Public admin & defence; social security,"979,413","1,000,625","1,980,090"
31,March,2007,31-Mar-07,1,Education,"2,028,844","769,519","2,798,405"
31,March,2007,31-Mar-07,1,Human health & social work activities,"2,783,399","716,787","3,500,215"
31,March,2007,31-Mar-07,1,Other services,"811,662","660,866","1,472,602"
30,June,2007,30-Jun-07,2,Public Sector,"4,528,394","2,459,071","6,987,465"
30,June,2007,30-Jun-07,2,Private sector,"8,872,044","13,259,013","22,131,057"
30,June,2007,30-Jun-07,2,"Agriculture, forestry & fishing","86,667","207,829","294,493"
30,June,2007,30-Jun-07,2,"Mining, energy and water supply","105,044","359,443","464,488"
30,June,2007,30-Jun-07,2,Manufacturing,"775,249","2,505,630","3,280,944"
30,June,2007,30-Jun-07,2,Construction,"328,090","2,215,579","2,543,718"
30,June,2007,30-Jun-07,2,"Wholesale, retail & repair of motor vehicles","1,950,139","2,083,932","4,034,288"
30,June,2007,30-Jun-07,2,Transport & storage,"314,764","1,244,093","1,558,897"
30,June,2007,30-Jun-07,2,Accommod-ation & food services,"752,888","617,950","1,370,977"
30,June,2007,30-Jun-07,2,Information & communication,"301,471","749,248","1,050,762"
30,June,2007,30-Jun-07,2,Financial & insurance activities,"613,721","658,152","1,271,745"
30,June,2007,30-Jun-07,2,Real estate activities,"128,619","116,149","245,032"
30,June,2007,30-Jun-07,2,"Professional, scientific & technical activities","858,398","1,024,194","1,882,697"
30,June,2007,30-Jun-07,2,Administrative & support services,"576,085","771,236","1,347,373"
30,June,2007,30-Jun-07,2,Public admin & defence; social security,"993,493","991,023","1,984,565"
30,June,2007,30-Jun-07,2,Education,"2,034,833","787,730","2,822,591"
30,June,2007,30-Jun-07,2,Human health & social work activities,"2,751,521","709,119","3,460,671"
30,June,2007,30-Jun-07,2,Other services,"829,840","683,571","1,513,500"
30,September,2007,30-Sep-07,3,Public Sector,"4,495,826","2,423,400","6,919,226"
30,September,2007,30-Sep-07,3,Private sector,"9,001,402","13,464,878","22,466,280"
30,September,2007,30-Sep-07,3,"Agriculture, forestry & fishing","83,353","213,548","296,901"
30,September,2007,30-Sep-07,3,"Mining, energy and water supply","105,362","363,292","468,655"
30,September,2007,30-Sep-07,3,Manufacturing,"805,022","2,463,703","3,268,781"
30,September,2007,30-Sep-07,3,Construction,"314,125","2,243,613","2,557,785"
30,September,2007,30-Sep-07,3,"Wholesale, retail & repair of motor vehicles","1,986,051","2,103,356","4,089,640"
30,September,2007,30-Sep-07,3,Transport & storage,"310,730","1,245,381","1,556,145"
30,September,2007,30-Sep-07,3,Accommod-ation & food services,"758,829","646,926","1,405,894"
30,September,2007,30-Sep-07,3,Information & communication,"307,728","754,377","1,062,160"
30,September,2007,30-Sep-07,3,Financial & insurance activities,"623,353","680,658","1,303,858"
30,September,2007,30-Sep-07,3,Real estate activities,"139,133","126,416","265,839"
30,September,2007,30-Sep-07,3,"Professional, scientific & technical activities","859,834","1,051,990","1,911,920"
30,September,2007,30-Sep-07,3,Administrative & support services,"604,424","827,214","1,431,689"
30,September,2007,30-Sep-07,3,Public admin & defence; social security,"985,712","1,004,518","1,990,251"
30,September,2007,30-Sep-07,3,Education,"1,997,643","783,851","2,781,541"
30,September,2007,30-Sep-07,3,Human health & social work activities,"2,802,176","702,861","3,505,081"
30,September,2007,30-Sep-07,3,Other services,"825,824","686,496","1,512,419"
31,December,2007,31-Dec-07,4,Public Sector,"4,573,880","2,444,343","7,018,223"
31,December,2007,31-Dec-07,4,Private sector,"9,011,753","13,466,975","22,478,728"
31,December,2007,31-Dec-07,4,"Agriculture, forestry & fishing","97,618","209,753","307,374"
31,December,2007,31-Dec-07,4,"Mining, energy and water supply","103,002","357,535","460,541"
31,December,2007,31-Dec-07,4,Manufacturing,"786,898","2,429,134","3,216,099"
31,December,2007,31-Dec-07,4,Construction,"312,066","2,224,882","2,536,994"
31,December,2007,31-Dec-07,4,"Wholesale, retail & repair of motor vehicles","2,056,212","2,130,662","4,187,090"
31,December,2007,31-Dec-07,4,Transport & storage,"307,711","1,267,967","1,575,699"
31,December,2007,31-Dec-07,4,Accommod-ation & food services,"746,804","647,989","1,394,922"
31,December,2007,31-Dec-07,4,Information & communication,"306,276","713,137","1,019,461"
31,December,2007,31-Dec-07,4,Financial & insurance activities,"609,034","702,766","1,311,577"
31,December,2007,31-Dec-07,4,Real estate activities,"144,790","133,408","278,552"
31,December,2007,31-Dec-07,4,"Professional, scientific & technical activities","887,887","1,064,492","1,952,485"
31,December,2007,31-Dec-07,4,Administrative & support services,"575,850","823,419","1,399,343"
31,December,2007,31-Dec-07,4,Public admin & defence; social security,"975,218","1,020,972","1,996,217"
31,December,2007,31-Dec-07,4,Education,"2,040,555","799,022","2,839,613"
31,December,2007,31-Dec-07,4,Human health & social work activities,"2,811,165","719,580","3,530,801"
31,December,2007,31-Dec-07,4,Other services,"838,627","677,987","1,516,725"
31,March,2008,31-Mar-08,1,Public Sector,"4,563,367","2,483,457","7,046,824"
31,March,2008,31-Mar-08,1,Private sector,"9,029,991","13,374,448","22,404,439"
31,March,2008,31-Mar-08,1,"Agriculture, forestry & fishing","111,907","222,553","334,466"
31,March,2008,31-Mar-08,1,"Mining, energy and water supply","100,187","351,653","451,836"
31,March,2008,31-Mar-08,1,Manufacturing,"769,128","2,378,514","3,147,716"
31,March,2008,31-Mar-08,1,Construction,"330,561","2,203,899","2,534,501"
31,March,2008,31-Mar-08,1,"Wholesale, retail & repair of motor vehicles","2,051,639","2,132,039","4,183,903"
31,March,2008,31-Mar-08,1,Transport & storage,"311,383","1,293,411","1,604,821"
31,March,2008,31-Mar-08,1,Accommod-ation & food services,"750,737","631,144","1,382,001"
31,March,2008,31-Mar-08,1,Information & communication,"301,823","722,405","1,024,284"
31,March,2008,31-Mar-08,1,Financial & insurance activities,"595,463","692,476","1,287,795"
31,March,2008,31-Mar-08,1,Real estate activities,"132,697","130,251","263,209"
31,March,2008,31-Mar-08,1,"Professional, scientific & technical activities","879,230","1,059,958","1,939,302"
31,March,2008,31-Mar-08,1,Administrative & support services,"593,780","804,185","1,398,047"
31,March,2008,31-Mar-08,1,Public admin & defence; social security,"971,939","1,038,866","2,010,854"
31,March,2008,31-Mar-08,1,Education,"2,060,803","785,988","2,846,845"
31,March,2008,31-Mar-08,1,Human health & social work activities,"2,810,108","756,269","3,566,436"
31,March,2008,31-Mar-08,1,Other services,"844,810","664,201","1,509,122"
30,June,2008,30-Jun-08,2,Public Sector,"4,592,512","2,508,964","7,101,476"
30,June,2008,30-Jun-08,2,Private sector,"9,011,383","13,371,479","22,382,862"
30,June,2008,30-Jun-08,2,"Agriculture, forestry & fishing","99,164","221,731","320,902"
30,June,2008,30-Jun-08,2,"Mining, energy and water supply","96,622","349,301","445,927"
30,June,2008,30-Jun-08,2,Manufacturing,"732,655","2,354,219","3,086,950"
30,June,2008,30-Jun-08,2,Construction,"330,711","2,181,189","2,511,935"
30,June,2008,30-Jun-08,2,"Wholesale, retail & repair of motor vehicles","2,050,997","2,144,236","4,195,463"
30,June,2008,30-Jun-08,2,Transport & storage,"316,077","1,273,856","1,589,966"
30,June,2008,30-Jun-08,2,Accommod-ation & food services,"721,850","633,373","1,355,365"
30,June,2008,30-Jun-08,2,Information & communication,"302,308","730,499","1,032,866"
30,June,2008,30-Jun-08,2,Financial & insurance activities,"612,262","674,550","1,286,881"
30,June,2008,30-Jun-08,2,Real estate activities,"121,719","131,093","252,862"
30,June,2008,30-Jun-08,2,"Professional, scientific & technical activities","886,869","1,081,648","1,968,635"
30,June,2008,30-Jun-08,2,Administrative & support services,"593,685","822,932","1,416,716"
30,June,2008,30-Jun-08,2,Public admin & defence; social security,"982,303","1,052,766","2,035,125"
30,June,2008,30-Jun-08,2,Education,"2,080,647","780,349","2,861,062"
30,June,2008,30-Jun-08,2,Human health & social work activities,"2,842,042","800,124","3,642,233"
30,June,2008,30-Jun-08,2,Other services,"859,845","658,781","1,518,744"
30,September,2008,30-Sep-08,3,Public Sector,"4,550,756","2,488,194","7,038,950"
30,September,2008,30-Sep-08,3,Private sector,"9,086,428","13,421,892","22,508,320"
30,September,2008,30-Sep-08,3,"Agriculture, forestry & fishing","94,523","218,413","312,943"
30,September,2008,30-Sep-08,3,"Mining, energy and water supply","93,071","370,139","463,217"
30,September,2008,30-Sep-08,3,Manufacturing,"752,821","2,315,534","3,068,440"
30,September,2008,30-Sep-08,3,Construction,"334,483","2,248,825","2,583,347"
30,September,2008,30-Sep-08,3,"Wholesale, retail & repair of motor vehicles","2,070,846","2,176,947","4,248,064"
30,September,2008,30-Sep-08,3,Transport & storage,"331,511","1,274,508","1,606,063"
30,September,2008,30-Sep-08,3,Accommod-ation & food services,"734,211","620,442","1,354,779"
30,September,2008,30-Sep-08,3,Information & communication,"310,488","752,074","1,062,626"
30,September,2008,30-Sep-08,3,Financial & insurance activities,"623,623","648,458","1,272,403"
30,September,2008,30-Sep-08,3,Real estate activities,"116,866","142,823","259,482"
30,September,2008,30-Sep-08,3,"Professional, scientific & technical activities","852,923","1,065,541","1,918,585"
30,September,2008,30-Sep-08,3,Administrative & support services,"601,826","801,859","1,403,789"
30,September,2008,30-Sep-08,3,Public admin & defence; social security,"995,539","1,037,018","2,032,636"
30,September,2008,30-Sep-08,3,Education,"2,064,609","740,680","2,805,357"
30,September,2008,30-Sep-08,3,Human health & social work activities,"2,843,246","804,728","3,648,056"
30,September,2008,30-Sep-08,3,Other services,"827,954","704,492","1,532,551"
31,December,2008,31-Dec-08,4,Public Sector,"4,628,530","2,538,497","7,167,027"
31,December,2008,31-Dec-08,4,Private sector,"8,996,108","13,293,190","22,289,298"
31,December,2008,31-Dec-08,4,"Agriculture, forestry & fishing","87,774","218,696","306,479"
31,December,2008,31-Dec-08,4,"Mining, energy and water supply","97,989","409,287","507,279"
31,December,2008,31-Dec-08,4,Manufacturing,"727,978","2,252,490","2,980,567"
31,December,2008,31-Dec-08,4,Construction,"330,838","2,233,304","2,564,195"
31,December,2008,31-Dec-08,4,"Wholesale, retail & repair of motor vehicles","2,059,844","2,161,311","4,221,459"
31,December,2008,31-Dec-08,4,Transport & storage,"333,812","1,291,969","1,625,831"
31,December,2008,31-Dec-08,4,Accommod-ation & food services,"719,406","615,642","1,335,151"
31,December,2008,31-Dec-08,4,Information & communication,"291,771","744,287","1,036,125"
31,December,2008,31-Dec-08,4,Financial & insurance activities,"614,208","629,311","1,243,845"
31,December,2008,31-Dec-08,4,Real estate activities,"115,093","137,341","252,250"
31,December,2008,31-Dec-08,4,"Professional, scientific & technical activities","826,766","1,022,334","1,849,219"
31,December,2008,31-Dec-08,4,Administrative & support services,"573,749","773,610","1,347,472"
31,December,2008,31-Dec-08,4,Public admin & defence; social security,"1,008,907","1,027,728","2,036,721"
31,December,2008,31-Dec-08,4,Education,"2,071,289","777,054","2,848,434"
31,December,2008,31-Dec-08,4,Human health & social work activities,"2,917,142","830,472","3,747,672"
31,December,2008,31-Dec-08,4,Other services,"866,398","717,074","1,583,571"
31,March,2009,31-Mar-09,1,Public Sector,"4,651,561","2,572,457","7,224,018"
31,March,2009,31-Mar-09,1,Private sector,"8,893,632","13,019,840","21,913,472"
31,March,2009,31-Mar-09,1,"Agriculture, forestry & fishing","75,193","246,952","322,145"
31,March,2009,31-Mar-09,1,"Mining, energy and water supply","98,612","390,315","488,927"
31,March,2009,31-Mar-09,1,Manufacturing,"713,034","2,143,623","2,856,657"
31,March,2009,31-Mar-09,1,Construction,"269,662","2,212,661","2,482,323"
31,March,2009,31-Mar-09,1,"Wholesale, retail & repair of motor vehicles","2,003,961","2,103,131","4,107,092"
31,March,2009,31-Mar-09,1,Transport & storage,"315,790","1,255,263","1,571,053"
31,March,2009,31-Mar-09,1,Accommod-ation & food services,"719,323","604,439","1,323,762"
31,March,2009,31-Mar-09,1,Information & communication,"312,667","722,278","1,034,945"
31,March,2009,31-Mar-09,1,Financial & insurance activities,"603,250","623,678","1,226,928"
31,March,2009,31-Mar-09,1,Real estate activities,"141,700","131,755","273,455"
31,March,2009,31-Mar-09,1,"Professional, scientific & technical activities","772,674","1,069,293","1,841,967"
31,March,2009,31-Mar-09,1,Administrative & support services,"593,953","714,848","1,308,801"
31,March,2009,31-Mar-09,1,Public admin & defence; social security,"1,006,118","1,003,136","2,009,254"
31,March,2009,31-Mar-09,1,Education,"2,115,644","803,439","2,919,083"
31,March,2009,31-Mar-09,1,Human health & social work activities,"2,944,083","827,762","3,771,845"
31,March,2009,31-Mar-09,1,Other services,"857,263","721,812","1,579,075"
30,June,2009,30-Jun-09,2,Public Sector,"4,679,886","2,557,977","7,237,863"
30,June,2009,30-Jun-09,2,Private sector,"8,796,060","12,827,580","21,623,640"
30,June,2009,30-Jun-09,2,"Agriculture, forestry & fishing","71,194","240,242","311,436"
30,June,2009,30-Jun-09,2,"Mining, energy and water supply","99,553","383,326","482,879"
30,June,2009,30-Jun-09,2,Manufacturing,"674,341","2,102,421","2,776,762"
30,June,2009,30-Jun-09,2,Construction,"258,252","2,127,083","2,385,335"
30,June,2009,30-Jun-09,2,"Wholesale, retail & repair of motor vehicles","1,932,550","2,056,444","3,988,994"
30,June,2009,30-Jun-09,2,Transport & storage,"302,447","1,208,037","1,510,484"
30,June,2009,30-Jun-09,2,Accommod-ation & food services,"740,281","620,115","1,360,396"
30,June,2009,30-Jun-09,2,Information & communication,"298,025","716,733","1,014,758"
30,June,2009,30-Jun-09,2,Financial & insurance activities,"600,174","634,681","1,234,855"
30,June,2009,30-Jun-09,2,Real estate activities,"144,541","123,551","268,092"
30,June,2009,30-Jun-09,2,"Professional, scientific & technical activities","777,542","1,104,748","1,882,290"
30,June,2009,30-Jun-09,2,Administrative & support services,"591,347","709,740","1,301,087"
30,June,2009,30-Jun-09,2,Public admin & defence; social security,"982,232","984,501","1,966,733"
30,June,2009,30-Jun-09,2,Education,"2,137,972","790,856","2,928,828"
30,June,2009,30-Jun-09,2,Human health & social work activities,"2,926,551","812,060","3,738,611"
30,June,2009,30-Jun-09,2,Other services,"872,198","710,401","1,582,599"
30,September,2009,30-Sep-09,3,Public Sector,"4,705,272","2,572,229","7,277,501"
30,September,2009,30-Sep-09,3,Private sector,"8,878,188","12,866,764","21,744,952"
30,September,2009,30-Sep-09,3,"Agriculture, forestry & fishing","76,709","252,244","328,953"
30,September,2009,30-Sep-09,3,"Mining, energy and water supply","102,097","388,630","490,727"
30,September,2009,30-Sep-09,3,Manufacturing,"685,755","2,127,686","2,813,441"
30,September,2009,30-Sep-09,3,Construction,"245,719","2,064,828","2,310,547"
30,September,2009,30-Sep-09,3,"Wholesale, retail & repair of motor vehicles","1,942,329","2,089,047","4,031,376"
30,September,2009,30-Sep-09,3,Transport & storage,"291,122","1,171,487","1,462,609"
30,September,2009,30-Sep-09,3,Accommod-ation & food services,"783,019","644,907","1,427,926"
30,September,2009,30-Sep-09,3,Information & communication,"294,767","725,413","1,020,180"
30,September,2009,30-Sep-09,3,Financial & insurance activities,"604,563","641,799","1,246,362"
30,September,2009,30-Sep-09,3,Real estate activities,"142,768","122,297","265,065"
30,September,2009,30-Sep-09,3,"Professional, scientific & technical activities","796,299","1,093,718","1,890,017"
30,September,2009,30-Sep-09,3,Administrative & support services,"605,628","695,441","1,301,069"
30,September,2009,30-Sep-09,3,Public admin & defence; social security,"980,950","996,370","1,977,320"
30,September,2009,30-Sep-09,3,Education,"2,129,895","830,576","2,960,471"
30,September,2009,30-Sep-09,3,Human health & social work activities,"2,973,057","804,993","3,778,050"
30,September,2009,30-Sep-09,3,Other services,"872,570","726,464","1,599,034"
31,December,2009,31-Dec-09,4,Public Sector,"4,743,119","2,581,005","7,324,124"
31,December,2009,31-Dec-09,4,Private sector,"8,877,470","12,813,678","21,691,148"
31,December,2009,31-Dec-09,4,"Agriculture, forestry & fishing","76,538","246,066","322,604"
31,December,2009,31-Dec-09,4,"Mining, energy and water supply","98,242","383,619","481,861"
31,December,2009,31-Dec-09,4,Manufacturing,"677,203","2,121,715","2,798,918"
31,December,2009,31-Dec-09,4,Construction,"240,652","2,070,311","2,310,963"
31,December,2009,31-Dec-09,4,"Wholesale, retail & repair of motor vehicles","1,947,942","2,069,165","4,017,107"
31,December,2009,31-Dec-09,4,Transport & storage,"282,310","1,172,868","1,455,178"
31,December,2009,31-Dec-09,4,Accommod-ation & food services,"772,981","632,947","1,405,928"
31,December,2009,31-Dec-09,4,Information & communication,"292,095","722,077","1,014,172"
31,December,2009,31-Dec-09,4,Financial & insurance activities,"586,267","636,747","1,223,014"
31,December,2009,31-Dec-09,4,Real estate activities,"139,021","114,660","253,681"
31,December,2009,31-Dec-09,4,"Professional, scientific & technical activities","821,642","1,063,982","1,885,624"
31,December,2009,31-Dec-09,4,Administrative & support services,"622,360","705,720","1,328,080"
31,December,2009,31-Dec-09,4,Public admin & defence; social security,"949,784","994,606","1,944,390"
31,December,2009,31-Dec-09,4,Education,"2,176,999","868,168","3,045,167"
31,December,2009,31-Dec-09,4,Human health & social work activities,"3,026,236","820,157","3,846,393"
31,December,2009,31-Dec-09,4,Other services,"860,390","719,011","1,579,401"
31,March,2010,31-Mar-10,1,Public Sector,"4,721,098","2,533,438","7,254,536"
31,March,2010,31-Mar-10,1,Private sector,"8,794,044","12,694,015","21,488,059"
31,March,2010,31-Mar-10,1,"Agriculture, forestry & fishing","83,625","251,992","335,617"
31,March,2010,31-Mar-10,1,"Mining, energy and water supply","92,182","379,921","472,103"
31,March,2010,31-Mar-10,1,Manufacturing,"661,160","2,154,177","2,815,337"
31,March,2010,31-Mar-10,1,Construction,"236,972","1,971,275","2,208,247"
31,March,2010,31-Mar-10,1,"Wholesale, retail & repair of motor vehicles","1,905,679","2,037,057","3,942,736"
31,March,2010,31-Mar-10,1,Transport & storage,"280,876","1,180,863","1,461,739"
31,March,2010,31-Mar-10,1,Accommod-ation & food services,"744,586","643,098","1,387,684"
31,March,2010,31-Mar-10,1,Information & communication,"301,233","709,622","1,010,855"
31,March,2010,31-Mar-10,1,Financial & insurance activities,"582,548","627,936","1,210,484"
31,March,2010,31-Mar-10,1,Real estate activities,"144,198","118,383","262,581"
31,March,2010,31-Mar-10,1,"Professional, scientific & technical activities","793,168","1,088,748","1,881,916"
31,March,2010,31-Mar-10,1,Administrative & support services,"612,532","706,628","1,319,160"
31,March,2010,31-Mar-10,1,Public admin & defence; social security,"945,694","984,178","1,929,872"
31,March,2010,31-Mar-10,1,Education,"2,205,756","856,580","3,062,336"
31,March,2010,31-Mar-10,1,Human health & social work activities,"3,032,166","791,788","3,823,954"
31,March,2010,31-Mar-10,1,Other services,"856,485","692,881","1,549,366"
30,June,2010,01-Jun-10,2,Public Sector,"4,748,496","2,576,266","7,324,762"
30,June,2010,01-Jun-10,2,Private sector,"8,779,509","12,806,666","21,586,175"
30,June,2010,01-Jun-10,2,"Agriculture, forestry & fishing","77,850","263,504","341,354"
30,June,2010,01-Jun-10,2,"Mining, energy and water supply","89,214","373,440","462,654"
30,June,2010,01-Jun-10,2,Manufacturing,"667,758","2,207,359","2,875,117"
30,June,2010,01-Jun-10,2,Construction,"245,896","1,961,074","2,206,970"
30,June,2010,01-Jun-10,2,"Wholesale, retail & repair of motor vehicles","1,909,815","2,094,400","4,004,215"
30,June,2010,01-Jun-10,2,Transport & storage,"282,664","1,160,136","1,442,800"
30,June,2010,01-Jun-10,2,Accommod-ation & food services,"779,808","680,984","1,460,792"
30,June,2010,01-Jun-10,2,Information & communication,"287,268","692,220","979,488"
30,June,2010,01-Jun-10,2,Financial & insurance activities,"552,511","622,351","1,174,862"
30,June,2010,01-Jun-10,2,Real estate activities,"149,122","113,120","262,242"
30,June,2010,01-Jun-10,2,"Professional, scientific & technical activities","800,562","1,092,392","1,892,954"
30,June,2010,01-Jun-10,2,Administrative & support services,"600,978","724,528","1,325,506"
30,June,2010,01-Jun-10,2,Public admin & defence; social security,"922,730","1,002,586","1,925,316"
30,June,2010,01-Jun-10,2,Education,"2,265,702","863,730","3,129,432"
30,June,2010,01-Jun-10,2,Human health & social work activities,"3,038,513","809,888","3,848,401"
30,June,2010,01-Jun-10,2,Other services,"834,700","697,191","1,531,891"
30,September,2010,30-Sep-10,3,Public Sector,"4,697,343","2,600,898","7,298,241"
30,September,2010,30-Sep-10,3,Private sector,"8,926,221","13,046,688","21,972,909"
30,September,2010,30-Sep-10,3,"Agriculture, forestry & fishing","85,624","283,756","369,380"
30,September,2010,30-Sep-10,3,"Mining, energy and water supply","93,346","380,890","474,236"
30,September,2010,30-Sep-10,3,Manufacturing,"675,664","2,212,713","2,888,377"
30,September,2010,30-Sep-10,3,Construction,"241,414","1,992,331","2,233,745"
30,September,2010,30-Sep-10,3,"Wholesale, retail & repair of motor vehicles","1,953,250","2,158,929","4,112,179"
30,September,2010,30-Sep-10,3,Transport & storage,"309,470","1,173,251","1,482,721"
30,September,2010,30-Sep-10,3,Accommod-ation & food services,"818,940","683,861","1,502,801"
30,September,2010,30-Sep-10,3,Information & communication,"296,649","747,983","1,044,632"
